"cluster","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"asia","non_suspect_bite_incidence","a5_1",109300.083175033,109301.112676486,109300.59607347,42901855.72172,56265197.5890071,49678834.5406991,472981833.051351,610906505.736802,542927853.64161,217753.75567414,217754.785175593,217754.272277156,21498.1481199155,21498.2497593781,21498.1991225175,2575997.81466661,2576021.53430043,2576009.63180691,5019021.96518883,5019045.68482265,5019033.86768234,592606.352279653,592609.152912053,592607.75763478,25587347.785019,33743668.2569301,29723679.2227605,20303229.2561081,26796276.9577538,23596061.7812111,0,0,0,2172.08468080253,2805.49239596583,2493.30517359758,94.2374034334106,121.718237133441,108.173777654208,6.45317379296542e-08,8.51025229363885e-08,7.32595284201605e-08
"asia","p_rabid","a1",411487.875201692,487623.624594368,449314.061508498,56750119.3180269,61209855.8772352,59087965.5352129,626024406.388351,673098078.011162,650574970.904807,503153.706915827,585804.255298171,543934.104550634,49674.7938278869,57834.6243016025,53700.9151043166,8257908.69364678,9787848.98378909,9018267.04824518,10105263.2115139,11757850.5927851,10919856.0295143,1192905.46511549,1387915.27686587,1289032.08521468,23184917.5434022,24872824.4901587,24045177.9484239,17168815.0425635,19006974.9821797,18065635.3852693,0,0,0,1068.65800431871,1337.7583604363,1196.05475270258,53.2430992763671,66.6086636164246,59.577248010086,2.0229053886297e-07,2.52666093895544e-07,2.2621338287342e-07
"asia","p_rabid","a3_1",212470.124091402,247036.367670902,229888.94998572,61400850.078133,61400850.078133,61400850.078133,679858975.5216,679858975.5216,679858975.5216,704435.833180883,818747.663327234,762013.084715414,69546.7494271886,80832.3993519706,75231.1716223185,4457085.18953051,5182857.88891271,4822822.90646651,13947708.191114,16212284.9873251,15088317.2796055,1646391.75251222,1913615.38669656,1780985.86672525,37412595.741376,37412595.741376,37412595.741376,29794861.2904601,29794861.2904601,29794861.2904601,0,0,0,830.364477327218,965.111289770274,892.188059704387,41.9348029012024,48.7434183599235,45.0586346325412,1.88288414428786e-07,2.18842784656546e-07,2.03678218422219e-07
"asia","p_rabid","a5_1",100814.264914281,117159.69871,109061.995098121,49562252.0089783,49562252.0089783,49562252.0089783,541724591.187642,541724591.187642,541724591.187642,200892.892280856,233357.340837349,217275.514524332,19833.5277438567,23038.6413435655,21450.9328650337,2375914.9495783,2761370.49739875,2570398.44035897,4630312.71166483,5378839.35364884,5008017.63940873,546715.857290696,635084.69117815,591306.656948031,29652523.0329702,29652523.0329702,29652523.0329702,23539416.0748332,23539416.0748332,23539416.0748332,0,0,0,2321.43796824128,2696.58416003235,2493.26111307851,100.714030587315,116.995249548246,108.17146228175,6.77490047162215e-08,7.86972968802292e-08,7.32738709224666e-08
"asia","p_transmission","a1",359217.219271971,548260.076333466,448312.768879376,56798344.010254,61533399.5527455,59118446.7851805,626363102.303213,676163366.455525,650826365.731875,435185.350598686,657271.511660951,541973.223592503,42964.490315328,64890.3632864684,53507.3234523475,7211788.4622629,11007325.9366277,8998256.20787762,8737153.50663938,13197911.7197842,10880254.4374764,1031371.31231158,1557950.10606702,1284355.80509113,23164031.2982941,24942493.3532324,24048337.8894686,17136167.9825323,19042694.9501476,18089424.2484532,0,0,0,952.974670574675,1553.7365068133,1200.84597799469,47.4592583737525,77.3894342066563,59.8172009185871,1.74475480231927e-07,2.83746599716154e-07,2.25368267064247e-07
"asia","p_transmission","a3_1",183975.946051437,278597.117731701,230139.80608409,61400850.078133,61400850.078133,61400850.078133,679858975.5216,679858975.5216,679858975.5216,609824.126318178,923463.546706684,762840.803665674,60206.0311387002,91170.6714264511,75312.8897288065,3859603.66722726,5844646.73089746,4828067.65925545,12074846.3463241,18285075.9001066,15104659.0325556,1425285.80026478,2158326.34965079,1782917.59743077,37412595.741376,37412595.741376,37412595.741376,29794861.2904601,29794861.2904601,29794861.2904601,0,0,0,736.205536153709,1114.84433983657,891.219992762157,37.1810857792303,56.3037372089268,45.0098856290816,1.62999683457876e-07,2.4683225753443e-07,2.0389945913911e-07
"asia","p_transmission","a5_1",87285.2965567612,132177.195822756,109187.105748894,49562252.0089783,49562252.0089783,49562252.0089783,541724591.187642,541724591.187642,541724591.187642,173894.634154527,263330.605167462,217528.166621776,17168.0740510713,25997.8081060917,21475.8764174277,2057150.46348055,3115168.16349251,2573334.87737341,4008109.91606893,6069526.03799437,5013822.34219889,473245.866104463,716641.550965763,591992.42199209,29652523.0329702,29652523.0329702,29652523.0329702,23539416.0748332,23539416.0748332,23539416.0748332,0,0,0,2057.20330473223,3115.24615938553,2490.36526901621,89.2531950265182,135.157119572947,108.046227850598,5.86441275034762e-08,8.88054634928263e-08,7.3359075172089e-08
"asia","p_prevent","a1",428233.472469636,471936.892744186,449867.313732385,56627349.9014722,61346802.3119067,59067308.6569255,624881793.255356,675239857.144369,650446736.318434,522075.845748133,565779.266022683,544145.424759933,51542.9174894197,55857.6196606888,53721.7780884988,8594852.95309717,9471833.83355059,9029496.48185408,10481611.430138,11358592.3105914,10923948.7818345,1237301.43502112,1340819.34929856,1289514.99007174,23110438.9634064,24950785.5121657,24043824.2505791,17071241.4812139,18981527.5000544,18050423.5838007,0,0,0,1104.46216533906,1293.37501944139,1195.35459956389,55.0140172451371,64.4213784917498,59.5431880273978,2.09242248302593e-07,2.44815456304638e-07,2.26314008574085e-07
"asia","p_prevent","a3_1",228318.962049492,232681.628971688,230381.974985124,61400850.078133,61400850.078133,61400850.078133,679858975.5216,679858975.5216,679858975.5216,761331.109520631,765693.776442826,763630.763507195,75163.842341562,75594.5548195207,75390.8799964334,4792198.0142671,4878789.49710421,4833145.14812323,15074655.7665843,15161247.2494215,15120300.1155653,1779376.22980254,1789597.04602083,1784763.83386784,37412595.741376,37412595.741376,37412595.741376,29794861.2904601,29794861.2904601,29794861.2904601,0,0,0,887.899309669215,892.987252221534,890.29804456692,44.8418896108658,45.0994693377097,44.9633254846397,2.03495933504193e-07,2.04662029263053e-07,2.0411060723666e-07
"asia","p_prevent","a5_1",108703.543307087,109979.349669955,109301.54210759,49562252.0089783,49562252.0089783,49562252.0089783,541724591.187642,541724591.187642,541724591.187642,217075.518680671,218351.325043539,217753.326243036,21431.187900098,21557.1442771826,21498.1057235239,2562235.66253248,2591694.47900566,2576031.56562312,5003349.0204836,5032807.83695678,5019011.93386614,590755.892845671,594234.046391849,592605.168156202,29652523.0329702,29652523.0329702,29652523.0329702,23539416.0748332,23539416.0748332,23539416.0748332,0,0,0,2480.97688933018,2495.55820241778,2487.79020065585,107.638640046947,108.272396942495,107.934509486283,7.32064244379164e-08,7.36366766499963e-08,7.34350078746823e-08
"east africa","suspect_bite_incidence","a1",323557.432562873,372038.528443006,347462.887103301,9032764.25173166,10583496.449591,9794563.48105157,140224101.242812,163012994.669888,151284401.394164,185601.165265357,218568.756974301,201339.966280841,18323.8233010068,21578.6106525342,19877.6659633905,6292183.97456348,7248007.11495282,6763699.61458608,3619974.5459638,4278983.70281789,3930326.83694911,427778.9099809,505664.047690045,464458.118669109,2011991.04371471,2327146.69715541,2164250.96611728,860597.971156556,1048411.66121519,955391.574453452,0,0,0,641.55601735567,878.297258731242,751.387835156102,32.77042189959,45.0315306364914,38.4915574887908,7.9754819707854e-07,1.08633066562146e-06,9.30298608770174e-07
"east africa","suspect_bite_incidence","a3_1",186363.784823823,211865.18635928,199354.963368692,7209228.97592851,7892970.77814161,7560043.13590319,105171611.059954,115839285.724033,110679161.605509,324143.588061918,371727.878821193,348327.447697049,32001.6839512244,36699.5323431247,34389.2808720569,3808623.80425649,4344692.08722504,4080026.32397389,6151332.91448774,7021906.52487463,6591285.21547197,727066.853805679,829968.238430441,779068.983917424,4217256.3336618,4602422.31711051,4413106.13506874,2814909.49395747,3087522.51131309,2954499.41722478,0,0,0,282.926347610702,357.37028277081,317.744588711739,14.9776432778464,18.8315747715761,16.7917421242381,7.04289101973201e-07,8.81444829080204e-07,7.89302221691577e-07
"east africa","suspect_bite_incidence","a5_1",72755.9335924169,125171.252571193,93065.9277572963,3645699.33009126,4737621.91549962,4043294.0349741,63040548.6966901,77952784.9643343,69178786.2944374,51781.0424625,106232.494180447,74214.0665678517,5112.18057854446,10488.0023215623,7326.92297644909,1638880.98625125,2797458.20188387,2078951.04983701,1156242.51647215,2319664.88755177,1630060.77058695,136654.860044282,274155.456050241,192653.688718676,2026515.7458842,2471642.72877032,2209907.47194603,1244101.50287149,1499824.84660059,1351945.47421819,0,0,0,593.420583626787,1505.43096966014,932.151942262715,27.1765758213569,67.4190611863838,42.4393909372641,2.09500515020881e-07,5.24212527813823e-07,3.35824316221255e-07
"east africa","non_suspect_bite_incidence","a1",324589.601071758,346582.483186922,335616.611324445,8836731.31591992,10177397.2383081,9492649.46450143,136962877.038725,158764715.913297,147692548.703202,183442.328177398,205435.210292562,194408.200039875,18110.6880586775,20281.9766127228,19193.3143345537,6318512.7208064,6746277.3291745,6533259.37387592,3581988.91503962,4009753.52340772,3795006.87033821,423288.268152823,473851.712790789,448468.132100606,1950724.6114613,2272012.00589443,2108407.89113207,838662.293218884,1023690.41735546,929240.781068321,0,0,0,666.696214556768,865.474819746965,759.703287582052,34.1574304353565,44.323061762334,38.9175971873907,8.07400346923702e-07,1.05312256320316e-06,9.22061622220031e-07
