"country","CODE","pop2018","pop2019","pop2020","pop2021","pop2022","pop2023","pop2024","pop2025","pop2026","pop2027","pop2028","pop2029","pop2030","pop2031","pop2032","pop2033","pop2034","pop2035","pop2036","pop2037","pop2038","pop2039","pop2040","pop2041","pop2042","pop2043","pop2044","pop2045","pop2046","pop2047","pop2048","pop2049","pop2050","pop2051","pop2052","pop2053","pop2054","pop2055","pop2056","pop2057","pop2058","pop2059","pop2060","pop2061","pop2062","pop2063","pop2064","pop2065","pop2066","pop2067","pop2068","pop2069","pop2070","Country.code","Continent","endemic","pop2015","HDI","Percent.Urban","urban_dogs_Knoble","rural_dogs_Knoble","total_dogs_Knoble","rural_HDR","urban_HDR","Business.Plan.Phase","cluster","gavi","gavi_2018","prop_urban","p_rabid","p_rabid_n","p_rabid_source","p_rabid_setting","p_seek","p_seek_n","p_receive","p_receive_n","p_complete","p_complete_n","vaccine_paid_by_patient","RIG_usage","RIG_paid_by_patient","ID","ID_prop","tot_dog_pop","dog_pop_setting","cost_first_visit","cost_followup_visit","ID_2015","price_per_vial","price_per_vial_RIG"
"Haiti","HTI",11112945,11242856,11371185,11497951,11622998,11746163,11867239,11986045,12102492,12216575,12328207,12437358,12543964,12647964,12749288,12847840,12943529,13036257,13125966,13212592,13296139,13376643,13454085,13528481,13599740,13667688,13732075,13792760,13849625,13902725,13952199,13998279,14041135,14080812,14117235,14150284,14179777,14205592,14227719,14246211,14261109,14272464,14280338,14284780,14285831,14283614,14278227,14269805,14258428,14244189,14227209,14207575,14185440,"HTI","Americas",1,10711067,0.454,59,837534,590608,1428142,7.5,7.5,"I","americas",TRUE,TRUE,0.59794,NA,NA,"lab_testing","mixed",0.632,68,0.382,68,0.6549,68,TRUE,TRUE,TRUE,FALSE,0,1113728.83770897,"Overall",6.99793283086696,5.12916667779528,FALSE,12.2,150
"Honduras","HND",9417167,9568688,9719265,9868818,10017325,10164639,10310545,10454849,10597425,10738136,10876813,11013275,11147351,11278945,11407968,11534322,11657920,11778686,11896543,12011469,12123518,12232808,12339417,12443346,12544546,12642936,12738436,12830963,12920484,13006996,13090516,13171064,13248655,13323288,13394917,13463513,13529028,13591414,13650645,13706713,13759624,13809396,13856012,13899492,13939800,13976874,14010622,14040968,14067908,14091492,14111733,14128714,14142488,"HND","Americas",1,8075060,0.625,55,589264,487411,1076675,7.5,7.5,"II","americas",TRUE,FALSE,0.55315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,6.06922707008263,4.45009662418141,FALSE,64.8947593357572,NA
"Hungary","HUN",9688847,9655361,9621254,9586483,9550949,9514618,9477472,9439465,9400611,9360911,9320240,9278442,9235459,9191264,9145936,9099592,9052386,9004466,8955891,8906747,8857218,8807516,8757846,8708275,8658883,8609776,8561050,8512785,8465027,8417791,8371044,8324701,8278700,8233042,8187692,8142534,8097419,8052238,8006955,7961554,7916018,7870266,7824309,7778138,7731796,7685360,7638895,7592536,7546301,7500260,7454578,7409457,7365054,"HUN","Europe",1,9844686,0.816,71,1078781,435786,1514567,6.5,6.5,NA,"endemic",FALSE,FALSE,0.71672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,35.6008803336044,26.0877708491327,FALSE,43.7895516557266,NA
"Iceland","ISL",337780,340566,343228,345764,348218,350597,352910,355184,357410,359573,361662,363692,365646,367521,369325,371060,372716,374297,375809,377255,378616,379919,381151,382312,383420,384454,385432,386349,387201,388002,388747,389435,390071,390650,391186,391672,392121,392533,392911,393259,393569,393859,394122,394366,394573,394768,394930,395057,395161,395225,395273,395275,395253,"ISL","Europe",0,330823,0.898,94,47912,2984,50896,6.5,6.5,NA,"free",FALSE,FALSE,0.9423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,58.1666144163396,42.6359477199219,FALSE,NA,NA
"India","IND",1354051854,1368737513,1383197753,1397423009,1411415296,1425158481,1438635367,1451829004,1464726099,1477311590,1489564612,1501462374,1512985207,1524123804,1534869174,1545203584,1555108108,1564570223,1573581733,1582146821,1590281887,1598011486,1605355574,1612319846,1618905536,1625123097,1630983670,1636496308,1641666866,1646498484,1650993654,1655153372,1658978162,1662471555,1665634474,1668461495,1670944584,1673078321,1674862507,1676300456,1677394788,1678149384,1678568111,1678655989,1678416452,1677850625,1676958866,1675744291,1674212113,1672372856,1670242036,1667838579,1665179391,"IND","Asia",1,1311050527,0.547,33,57243962,61658798,118902760,14.3,7.5,"II","asia",TRUE,FALSE,0.33136,NA,NA,NA,NA,NA,NA,NA,NA,0.73,619,NA,TRUE,NA,TRUE,NA,32763981,"rural",7.4085872509512,5.43118734279749,TRUE,1.87,5.24
"Indonesia","IDN",266794980,269536482,272222987,274854187,277425269,279933839,282376577,284751045,287056004,289291764,291459262,293560094,295595234,297564832,299467795,301302463,303066623,304758627,306377782,307924332,309398715,310801798,312134188,313396421,314588313,315708952,316757043,317731985,318634138,319464950,320226337,320920805,321550686,322117585,322622942,323068816,323457405,323790912,324071289,324300574,324481165,324615556,324706159,324754716,324763120,324734079,324670480,324574722,324448614,324293099,324108637,323895158,323652789,"IDN","Asia",1,257563815,0.617,54,18455993,8331739,26787732,14.3,7.5,"II","asia",TRUE,FALSE,0.54466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,7.30705714192911,5.35695056265081,FALSE,18.7726573032336,74.6464934611338
"Iran (Islamic Republic of)","IRN",82011735,82820766,83587129,84308039,84981814,85608868,86190846,86729781,87225920,87681034,88100893,88492921,88863308,89214452,89547756,89867078,90176445,90478779,90775584,91066938,91352328,91630373,91899463,92159118,92407886,92641739,92855590,93045086,93208289,93343791,93448513,93519251,93553454,93549750,93507577,93426451,93306302,93147423,92949896,92714463,92443058,92138247,91802462,91437145,91043763,90624854,90183259,89721573,89241804,88745692,88235045,87711599,87177099,"IRN","Asia",1,79109272,0.707,73,7739524,1472926,9212450,14.3,7.5,"I","endemic",FALSE,FALSE,0.73879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,24.5628362700925,18.0036108436969,FALSE,56.7432610027781,NA
"Iraq","IRQ",39339753,40412299,41502885,42612210,43736205,44875406,46029845,47199653,48385486,49588073,50807610,52044137,53297666,54568209,55855801,57160479,58482253,59820984,61176441,62548132,63935269,65336862,66751984,68180059,69620533,71072499,72534960,74007050,75488029,76977352,78474486,79978980,81490359,83008232,84532046,86060990,87594147,89130835,90670380,92212662,93758258,95308115,96862785,98422206,99985667,101552217,103120645,104689915,106259369,107828677,109397516,110965643,112532712,"IRQ","Asia",1,36423395,0.573,69,3373826,777601,4151428,14.3,7.5,"III","endemic",FALSE,FALSE,0.69592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,12.1442317556715,8.91050379999732,FALSE,88.761728597867,NA
"Ireland","IRL",4803748,4847139,4887992,4925839,4962074,4996848,5030660,5063876,5096360,5127897,5158765,5189347,5219951,5250643,5281387,5312233,5343214,5374338,5405605,5436991,5468386,5499612,5530561,5561138,5591291,5620861,5649704,5677669,5704685,5730697,5755571,5779177,5801399,5822213,5841638,5859723,5876551,5892221,5906773,5920260,5932808,5944576,5955712,5966287,5976402,5986146,5995627,6004954,6014198,6023437,6032770,6042312,6052152,"IRL","Europe",0,4640703,0.908,63,451512,262442,713954,6.5,6.5,NA,"free",FALSE,FALSE,0.63535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,46.7531579145194,34.2699195482126,FALSE,NA,NA
"Israel","ISR",8452841,8583916,8713559,8841736,8969106,9095883,9222417,9348954,9475555,9602198,9729014,9856129,9983645,10111605,10240043,10368934,10498267,10628000,10758097,10888539,11019303,11150331,11281554,11412938,11544356,11675636,11806587,11937013,12066806,12195879,12324089,12451269,12577297,12702086,12825565,12947635,13068220,13187281,13304750,13420624,13534929,13647691,13758978,13868777,13977108,14084103,14189904,14294649,14398366,14501068,14602760,14703422,14803038,"ISR","Asia",1,8380400,0.888,92,1029560,46063,1075623,14.3,7.5,"II","endemic",FALSE,FALSE,0.92205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,34.2113582612454,25.0768193609728,FALSE,22.8348275726498,NA
"Italy","ITA",59290969,59216525,59132073,59037893,58937473,58833036,58727510,58623032,58520455,58419220,58318194,58215557,58109918,58000903,57888774,57773546,57655400,57534360,57410228,57282520,57150706,57014109,56872174,56724593,56571153,56411418,56244946,56071394,55890762,55702970,55507686,55304470,55093194,54874065,54647681,54414770,54176315,53933322,53686504,53436750,53185561,52934646,52685582,52439311,52196757,51959337,51728589,51505783,51291679,51086770,50891706,50706977,50532918,"ITA","Europe",0,60802085,0.874,69,6451008,2903159,9354167,6.5,6.5,NA,"free",FALSE,FALSE,0.69116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,42.2061265903895,30.9369597173483,FALSE,NA,NA
"Ivory Coast","CIV",24905843,25531083,26171750,26827728,27498056,28182319,28879988,29590631,30314031,31050231,31799349,32561655,33337306,34126217,34928213,35743151,36570885,37411246,38264047,39129144,40006316,40895356,41796024,42708064,43631197,44565118,45509489,46463968,47428299,48402130,49384946,50376128,51375178,52381650,53395312,54416142,55444236,56479575,57521895,58570721,59625535,60685714,61750672,62819984,63893284,64970171,66050268,67133154,68218449,69305704,70394351,71483752,72573371,"CIV","Africa",1,22701556,0.4,54,580175,1405656,1985830,7.4,21.2,"II","west africa",TRUE,TRUE,0.54869,NA,NA,NA,NA,0.39,96,0.92,37,0.37,NA,TRUE,FALSE,NA,FALSE,0,NA,NA,5.29517770172711,3.88409257443322,FALSE,14.4,NA
"Jamaica","JAM",2898677,2906339,2913160,2919128,2924226,2928445,2931784,2934223,2935750,2936344,2935999,2934765,2932629,2929625,2925722,2920875,2915009,2908064,2900048,2890985,2880961,2870061,2858381,2845954,2832803,2818917,2804337,2789062,2773107,2756528,2739365,2721702,2703591,2685061,2666106,2646719,2626867,2606519,2585692,2564396,2542602,2520290,2497451,2474074,2450180,2425814,2400995,2375776,2350165,2324197,2297870,2271226,2244271,"JAM","Americas",0,2725941,0.727,55,199132,164327,363459,7.5,7.5,NA,"free",FALSE,FALSE,0.5503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,16.3585893317399,11.9944932583854,FALSE,NA,NA
"Japan","JPN",127185332,126854745,126495647,126109475,125696763,125258600,124795916,124309808,123801486,123272528,122724751,122160142,121580505,120987465,120382187,119765440,119137707,118499790,117852825,117198468,116538740,115875930,115212067,114548214,113885455,113225711,112571117,111923238,111282691,110649523,110023889,109405677,108794446,108190314,107592366,106997864,106403191,105805496,105204044,104598757,103988291,103371344,102747177,102115620,101477467,100834469,100189045,99543480,98899033,98256958,97619590,96989549,96369242,"JPN","Asia",0,126958472,0.901,93,15827151,577262,16404412,14.3,7.5,NA,"free",FALSE,FALSE,0.93928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,45.4471644971282,33.3142470559946,FALSE,109.513764638576,NA
"Jordan","JOR",9903802,10069794,10208662,10320354,10405374,10473935,10538925,10610246,10692470,10785678,10889657,11002309,11122063,11249660,11386350,11531302,11683198,11840789,12003793,12171512,12341787,12511915,12679815,12844367,13005456,13163186,13318146,13470733,13620709,13767569,13911140,14051237,14187734,14320534,14449640,14575170,14697294,14816149,14931804,15044266,15153612,15259934,15363306,15463778,15561425,15656387,15748841,15838920,15926686,16012127,16095204,16175833,16253949,"JOR","Asia",1,7594547,0.698,84,847339,86679,934018,14.3,7.5,"II","endemic",FALSE,FALSE,0.83905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,5.41119400984588,3.96619633306551,FALSE,29.3319724304067,NA
"Kazakhstan","KAZ",18403860,18592970,18777139,18956868,19130148,19296971,19457023,19610258,19757087,19898462,20035454,20169369,20301322,20431842,20561319,20690459,20819957,20950360,21081969,21214885,21349154,21484634,21621166,21758673,21896943,22035402,22173301,22309977,22445138,22578426,22709123,22836340,22959432,23078067,23192121,23301376,23405696,23505028,23599296,23688633,23773466,23854360,23931858,24006162,24077505,24146388,24213432,24279110,24343722,24407451,24470474,24532943,24594973,"KAZ","Asia",1,17544126,0.745,53,1245563,573595,1819158,14.3,7.5,"I","endemic",FALSE,FALSE,0.53229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,12.8029513179893,9.38180339869487,FALSE,NA,NA
"Kenya","KEN",50950879,52214791,53491697,54780852,56081772,57395145,58722068,60063158,61418176,62786272,64166647,65558242,66959993,68371214,69791017,71217897,72650119,74086106,75524882,76965577,78406959,79847748,81286865,82723272,84156324,85585822,87011808,88434154,89852235,91265247,92672520,94073394,95467137,96853106,98230578,99598638,100956312,102302686,103636956,104958416,106266321,107559944,108838578,110101466,111347854,112576964,113788006,114980216,116153024,117305781,118437579,119547404,120634465,"KEN","Africa",1,46050302,0.509,26,556557,4628553,5185110,7.4,21.2,"I","east africa",TRUE,TRUE,0.26055,0.829268292682927,41,"lab_testing","overall",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,0,NA,NA,5.84611236383711,4.2882114449281,FALSE,15,220.485865355257
"Kiribati","KIR",118414,120428,122439,124433,126413,128388,130343,132270,134180,136058,137909,139739,141538,143329,145085,146832,148583,150340,152099,153872,155662,157460,159295,161147,163017,164902,166808,168697,170593,172479,174360,176230,178085,179925,181748,183533,185309,187050,188761,190432,192089,193703,195289,196853,198375,199879,201362,202830,204279,205713,207132,208544,209956,"KIR","Oceania",0,112423,0.624,44,6641,4379,11020,14.3,7.5,NA,"free",TRUE,FALSE,0.44447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,4.62065806340004,3.38835916561923,FALSE,NA,NA
"Kuwait","KWT",4197128,4248974,4302875,4361470,4422070,4483898,4544704,4602914,4659078,4714483,4768932,4822077,4873674,4923698,4972299,5019631,5065917,5111323,5155871,5199492,5242093,5283579,5323821,5362825,5400553,5436869,5471548,5504477,5535587,5564935,5592606,5618766,5643532,5666974,5689113,5710012,5729703,5748264,5765752,5782284,5797996,5813098,5827732,5841984,5855923,5869667,5883346,5897033,5910795,5924664,5938632,5952682,5966806,"KWT","Asia",1,3892115,0.76,98,510344,4513,514857,14.3,7.5,NA,"endemic",FALSE,FALSE,0.98358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,74.8341189705251,54.8505205542893,FALSE,NA,NA
"Kyrgyzstan","KGZ",6132932,6218616,6301718,6381898,6459055,6533394,6605291,6675072,6742763,6808412,6872400,6935224,6997284,7058739,7119629,7180113,7240301,7300284,7360133,7419811,7479195,7538049,7596178,7653535,7710049,7765538,7819764,7872543,7923784,7973435,8021470,8067880,8112653,8155767,8197197,8236949,8275017,8311417,8346162,8379290,8410905,8441113,8470031,8497710,8524165,8549468,8573672,8596829,8618990,8640179,8660406,8679635,8697868,"KGZ","Asia",1,5957000,0.615,36,283609,267828,551436,14.3,7.5,"II","asia",TRUE,TRUE,0.3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,5.53083747825671,4.0536572832742,FALSE,NA,NA
"Lao People's Democratic Republic","LAO",6961210,7064242,7164822,7262301,7357213,7449765,7540495,7629773,7717463,7803221,7887021,7968851,8048698,8126506,8202235,8275833,8347252,8416467,8483420,8548078,8610412,8670363,8727905,8783005,8835638,8885748,8933269,8978146,9020358,9059914,9096823,9131134,9162892,9192112,9218774,9242870,9264391,9283327,9299697,9313514,9324796,9333570,9339862,9343694,9345099,9344110,9340753,9335058,9327089,9316874,9304477,9289954,9273381,"LAO","Asia",1,6802023,0.524,39,350204,291992,642197,14.3,7.5,"II","asia",TRUE,FALSE,0.39654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,0,NA,NA,3.97057907406756,2.91165193559355,FALSE,25.8260654461758,64.6561004830454
"Latvia","LVA",1929938,1911108,1892993,1875529,1858748,1842658,1827310,1812682,1798806,1785573,1772744,1760023,1747192,1734151,1720947,1707704,1694629,1681894,1669503,1657404,1645603,1634066,1622754,1611695,1600853,1590207,1579662,1569178,1558725,1548305,1537914,1527554,1517200,1506886,1496571,1486265,1475992,1465736,1455501,1445308,1435159,1425074,1415076,1405160,1395350,1385658,1376087,1366653,1357379,1348255,1339316,1330564,1322014,"LVA","Europe",1,1978440,0.805,67,205094,99281,304375,6.5,6.5,NA,"endemic",FALSE,FALSE,0.67361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,31.5269679951092,23.1024713088794,FALSE,24.3329788264,153.575332898257
"Lebanon","LBN",6093509,6065922,6019795,5957294,5875218,5782760,5690347,5605987,5534571,5477054,5432297,5396990,5368598,5347601,5335196,5330139,5330744,5335520,5344015,5355698,5368874,5381602,5392419,5400434,5405656,5408664,5410527,5412032,5413181,5413649,5413526,5412903,5411830,5410328,5408400,5405980,5402985,5399312,5394933,5389784,5383709,5376502,5367998,5358129,5346865,5334122,5319818,5303918,5286394,5267262,5246534,5224228,5200405,"LBN","Asia",1,5850743,0.739,88,684865,49948,734813,14.3,7.5,"II","endemic",FALSE,FALSE,0.87914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,41.3278917986767,30.2917494022918,FALSE,37.1363053941628,NA
"Lesotho","LSO",2263010,2292682,2322217,2351503,2380501,2409247,2437840,2466330,2494720,2523002,2551249,2579543,2607957,2636529,2665243,2694144,2723242,2752561,2782100,2811858,2841805,2871934,2902197,2932595,2963091,2993619,3024119,3054502,3084733,3114785,3144620,3174191,3203470,3232414,3260984,3289119,3316747,3343817,3370295,3396164,3421379,3445934,3469806,3492993,3515454,3537219,3558303,3578718,3598462,3617524,3635926,3653659,3670731,"LSO","Africa",1,2135022,0.45,27,27506,209717,237222,7.4,21.2,"I","east africa",TRUE,TRUE,0.2784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,5.30018020762007,3.88776198764999,FALSE,NA,NA
"Liberia","LBR",4853516,4977720,5103853,5232082,5362863,5496177,5631939,5770096,5910628,6053511,6198650,6345961,6495377,6646813,6800202,6955476,7112532,7271261,7431614,7593499,7756851,7921578,8087611,8254885,8423317,8592845,8763359,8934809,9107105,9280200,9454055,9628677,9804031,9980081,10156726,10333893,10511471,10689379,10867513,11045836,11224283,11402812,11581381,11759900,11938295,12116456,12294273,12471642,12648483,12824700,13000221,13174960,13348829,"LBR","Africa",1,4503438,0.329,50,105578,306106,411684,7.4,21.2,"I","west africa",TRUE,TRUE,0.501,0.385806451612903,775,"suspect","urban",NA,NA,0.909677419354839,775,0.09,775,TRUE,FALSE,NA,FALSE,NA,NA,NA,21.7073090223359,15.9238045447522,FALSE,NA,NA
"Libya","LBY",6470956,6569864,6662173,6745673,6822852,6894768,6963840,7031832,7098476,7162726,7224687,7284508,7342346,7398213,7452161,7504306,7554801,7603743,7651158,7697033,7741372,7784117,7825251,7864742,7902530,7938424,7972202,8003680,8032770,8059444,8083580,8105010,8123669,8139509,8152560,8162834,8170352,8175198,8177435,8177145,8174517,8169759,8163080,8154609,8144486,8132960,8120311,8106794,8092565,8077719,8062385,8046654,8030639,"LBY","Africa",1,6278438,0.76,79,232640,181956,414596,7.4,21.2,"III","endemic",FALSE,FALSE,0.78754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,48.1575971094794,35.2976597661086,FALSE,NA,NA
"Lithuania","LTU",2876475,2864459,2852478,2839999,2827266,2814245,2801129,2788010,2774739,2761063,2746987,2732518,2717731,2702561,2687021,2671180,2655143,2638998,2622766,2606474,2590178,2573978,2557900,2541985,2526271,2510732,2495365,2480144,2465098,2450216,2435527,2421030,2406723,2392611,2378697,2364969,2351410,2338008,2324761,2311664,2298706,2285882,2273154,2260543,2248045,2235659,2223398,2211262,2199260,2187392,2175677,2164137,2152771,"LTU","Europe",1,2910199,0.81,67,297772,149951,447723,6.5,6.5,NA,"endemic",FALSE,FALSE,0.66512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,30.3285198005848,22.2242671320309,FALSE,24.28134486749,NA
"Luxembourg","LUX",590321,596992,603944,611338,618998,626791,634437,641757,648718,655418,661932,668387,674864,681385,687929,694466,700955,707373,713713,719995,726203,732355,738428,744431,750354,756220,762035,767807,773542,779238,784874,790443,795916,801298,806595,811815,816953,822022,827027,831956,836837,841669,846454,851207,855924,860609,865260,869888,874479,879057,883599,888095,892557,"LUX","Europe",0,569676,0.867,90,79018,8624,87642,6.5,6.5,NA,"free",FALSE,FALSE,0.90432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,60.8562522096418,44.6074438707475,FALSE,NA,NA
"Madagascar","MDG",26262810,26969642,27690798,28426106,29175412,29938052,30713196,31500077,32298311,33107434,33926654,34755062,35591943,36436782,37289343,38149373,39016761,39891388,40772971,41661283,42556397,43458494,44367656,45283723,46206441,47135665,48071248,49012988,49960619,50913785,51872127,52835205,53802574,54773869,55748627,56726164,57705696,58686533,59668151,60650175,61632182,62613812,63594676,64574346,65552365,66528398,67502139,68473226,69441300,70405960,71366711,72323008,73274376,"MDG","Africa",1,24235390,0.48,35,401313,2125345,2526658,7.4,21.2,"II","east africa",TRUE,TRUE,0.35741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,4.45069279661912,3.26488935593698,TRUE,NA,NA
"Malawi","MWI",19164728,19718743,20283691,20859191,21445468,22043258,22653625,23277224,23914217,24564021,25225545,25897347,26578247,27267730,27965730,28672108,29386842,30109857,30840793,31579218,32324869,33077454,33836707,34602300,35373855,36150880,36932805,37719155,38509466,39303412,40100768,40901375,41705002,42511285,43319721,44129755,44940790,45752245,46563628,47374487,48184363,48992765,49799238,50603295,51404420,52202051,52995621,53784568,54568455,55346797,56119055,56884673,57643148,"MWI","Africa",1,17215232,0.4,16,132135,1947834,2079969,7.4,21.2,"I","east africa",TRUE,TRUE,0.16454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,0,NA,NA,6.74464192605715,4.94729640666094,FALSE,NA,NA
"Malaysia","MYS",32042458,32454455,32869323,33289213,33710811,34131170,34545393,34949758,35343767,35728205,36102129,36464597,36814968,37152789,37477978,37790724,38091467,38380670,38658468,38925160,39181636,39429022,39668262,39899761,40123869,40341496,40553598,40760928,40963843,41162327,41356264,41545333,41729217,41907826,42080972,42247998,42408073,42560484,42704872,42840966,42968270,43086253,43194485,43292740,43380831,43458395,43525108,43580750,43625311,43658962,43681969,43694697,43697589,"MYS","Asia",1,30331007,0.761,75,3021171,536519,3557690,14.3,7.5,"II","endemic",FALSE,FALSE,0.7537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,22.7633599907568,16.6925226673749,FALSE,174.985202846346,NA
"Maldives","MDV",444259,451738,458909,465782,472334,478508,484309,489695,494699,499335,503688,507806,511766,515596,519304,522911,526456,529943,533391,536815,540219,543603,546961,550300,553607,556862,560042,563119,566092,568924,571619,574133,576435,578530,580384,582014,583406,584547,585449,586096,586493,586671,586619,586346,585865,585184,584299,583247,582031,580649,579108,577420,575584,"MDV","Asia",0,409163,0.661,46,24842,15584,40426,14.3,7.5,NA,"free",FALSE,FALSE,0.4654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,6.71650660436334,4.92382750433717,FALSE,NA,NA
"Mali","MLI",19107706,19689140,20284180,20892584,21515305,22152885,22806188,23475747,24161496,24862935,25579703,26311270,27057112,27816844,28590026,29375969,30173868,30982972,31802693,32632452,33471454,34318829,35173773,36035737,36904189,37778476,38657969,39542118,40430330,41322247,42217820,43117136,44020171,44926621,45836003,46747759,47661234,48575874,49491173,50406799,51322530,52238234,53153630,54068306,54981656,55893074,56801833,57707270,58608833,59505968,60397896,61283762,62162821,"MLI","Africa",1,17599694,0.359,40,331372,1429000,1760372,7.4,21.2,"I","west africa",TRUE,TRUE,0.40683,NA,NA,NA,NA,0.59,36,0.9,21,0.675,NA,TRUE,TRUE,NA,FALSE,0,NA,NA,4.06935966337567,2.98515526888724,FALSE,20.6,NA
"Malta","MLT",432089,433245,434363,435469,436533,437509,438352,439036,439555,439920,440107,440129,439963,439613,439085,438406,437599,436695,435714,434651,433519,432345,431149,429919,428671,427423,426185,424966,423774,422603,421464,420336,419247,418166,417103,416057,415015,413968,412905,411842,410755,409642,408486,407304,406067,404778,403448,402049,400598,399088,397524,395909,394244,"MLT","Europe",0,431333,0.832,95,63311,3048,66359,6.5,6.5,NA,"free",FALSE,FALSE,0.95529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,11.5538507698582,8.46893673263174,FALSE,NA,NA
"Marshall Islands","MHL",53167,53211,53251,53289,53327,53400,53514,53702,53956,54299,54695,55143,55634,56159,56726,57321,57943,58586,59239,59915,60576,61232,61858,62454,63028,63547,64033,64457,64825,65154,65424,65659,65868,66033,66183,66311,66437,66575,66718,66873,67058,67264,67496,67764,68054,68386,68731,69108,69500,69913,70338,70758,71173,"MHL","Oceania",0,52993,0.563,73,5136,1012,6148,14.3,7.5,NA,"free",FALSE,FALSE,0.7294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,4.33295408144576,3.17738392930753,FALSE,NA,NA
"Mauritania","MRT",4540068,4661149,4783767,4907911,5033378,5160072,5287877,5416711,5546519,5677339,5809251,5942334,6076668,6212246,6349041,6487015,6626118,6766329,6907598,7049901,7193176,7337362,7482408,7628249,7774826,7922068,8069896,8218228,8367010,8516175,8665625,8815261,8965000,9114775,9264531,9414225,9563831,9713321,9862627,10011698,10160497,10308970,10457086,10604785,10752025,10898755,11044939,11190525,11335471,11479727,11623244,11765958,11907842,"MRT","Africa",1,4067564,0.453,60,114849,220643,335493,7.4,21.2,"III","west africa",TRUE,TRUE,0.60446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,4.34321421987379,3.18604642632401,FALSE,NA,NA
"Mauritius","MUS",1268315,1271368,1274114,1276475,1278528,1280313,1281882,1283273,1284502,1285507,1286275,1286760,1286934,1286778,1286302,1285475,1284273,1282701,1280740,1278396,1275684,1272612,1269200,1265448,1261389,1257038,1252432,1247598,1242572,1237352,1231995,1226541,1221030,1215489,1209919,1204349,1198773,1193212,1187671,1182151,1176653,1171161,1165670,1160163,1154667,1149147,1143603,1138022,1132403,1126719,1120996,1115207,1109336,"MUS","Africa",0,1262605,0.728,40,23627,102935,126562,7.4,21.2,NA,"free",FALSE,FALSE,0.39548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,23.4598830211985,17.2094381383284,FALSE,NA,NA
