NUM,CODE,Country,Continent,Cluster,Pop_2010,HDI,RISK (endemic/ rabies-free),Dog vaccination coverage,RP,PP,"Bite Incidence (/100,000)",Deaths,"Per capita death rate from rabies (/100,000)",Exposures,PEP,prevented deaths,"YLL (no TD or AW, GBD 2010 lifetable)","YLL (TD & AW, Country-specific lifetable  (comparable to Knobel et al. 2005) ","YLL (TD & AW, Standard West lifetable  (comparable to Knobel et al. 2005) ","DALYs from NTVs (no TD or AW, GBD 2010 lifetable)","DALYs from NTVs (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",DALYs due to Anxiety,"DALY total (no TD or AW, GBD 2010 lifetable)","DALYs total (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",Direct costs,Travel costs,Lost income,Productivity losses from premature death,Dog vaccination,Dog population management,Livestock losses,Surveillance,deaths Lower,deaths Upper,Exposures lower,Exposures upper,PEP lower,PEP upper,Prevented deaths Lower,Prevented deaths Upper,YLL rabies lower,YLL rabies upper,DALY ntv lower,DALY ntv upper,Direct costs lower,Direct costs upper,Travel costs lower,Travel costs upper,Lost Income lower,Lost Income Upper,Premature death lower,Premature death upper,Livestock losses lower,Livestock losses upper
113,NPL,Nepal,Asia,Asia 3,29852000,0.458,1,0.17%,0.741,0.926,335,"1,044",3.49845,"74,086","92,585","13,032","65,220","28,282","31,097",NA,NA,1644,65220,28282,"6,956,172","775,641","712,613","36,645,093","40,462","60,000","9,659,573",368,265,"2,150","20,870","106,427","27,261","129,936","3,820","21,560","15,375","136,296",NA,NA,"2,040,460","9,928,289","187,467","879,819","211,388","1,038,952","9,779,542","75,541,198","80,760,748","1,995,673"
114,OMN,Oman,Asia,Middle East,2905000,0.705,1,15.00%,0.545,0.997,90.22,1,0.027935,"1,428","2,613",270,51,23,24,NA,NA,46,51,23,"881,885","3,368","667,830","945,505",204,757,"239,534","1,600",0,2,821,"2,843","1,579","4,892",146,608,21,140,NA,NA,"527,494","1,674,995","8,361","25,820","400,635","1,288,392","408,321","2,596,560","911,945","111,879"
115,PAK,Pakistan,Asia,Asia 3,184753000,0.504,1,5.09%,0.673,0.958,45.5,448,0.242232,"56,545","80,561","10,296","27,948","12,238","13,326",2609,1108,1430,30557,13345,"3,740,816","622,845","2,722,419","29,338,537","276,283","12,558","31,403,874","22,015",382,"5,278","55,620","541,337","86,490","779,214","10,215","107,554","23,358","337,407","2,717","26,619","4,009,859","37,300,663","1,089,084","9,744,188","2,943,926","27,716,992","25,586,511","325,470,293","205,102,412","8,381,606"
116,PHL,Philippines,Asia,Asia 4,93616000,0.644,1,10.00%,0.608,0.993,231.3963,168,0.179212,"131,627","215,171","24,841","10,477","4,683","4,996",NA,NA,3820,10477,4683,"9,976,336","589,505","4,733,431","21,031,584","4,744,000","69,923","1,705,617","2,893",129,"1,083","123,775","688,155","216,820","1,062,666","21,927","141,531","7,762","68,403",NA,NA,"10,025,787","50,222,637","1,018,957","5,003,437","4,757,073","24,335,867","17,205,291","132,191,562","8,588,356","596,146"
117,QAT,Qatar,Asia,Middle East,1509000,0.831,1,18.50%,0.503,0.999,90.22,0,0.004837,684,"1,361",130,5,2,2,NA,NA,24,5,2,"286,085","1,671","1,419,701","347,159","3,933",393,"13,189",252,0,0,391,"1,367",822,"2,546",70,292,1,16,NA,NA,"170,955","543,459","4,347","13,421","851,573","2,740,491","113,077","1,267,922","40,877","7,624"
118,KOR,Republic of Korea,Asia,Asia 1,48502000,0.897,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
119,RUS,Russian Federation,Asia,Eurasia,140367000,0.755,1,40.00%,0.28,0.998,284.97,33,0.023348,"111,945","399,387","21,237","2,047",906,976,NA,NA,7090,2047,906,"19,041,521","992,340","57,104,151","21,362,023","3,500,000","40,315","324,909","54,992",12,116,"54,342","272,038","207,745","888,855","10,125","57,152",713,"7,070",NA,NA,"9,746,070","43,133,120","1,155,420","4,913,845","29,387,365","131,737,450","7,827,926","75,661,570","225,122","887,955"
120,SAU,Saudi Arabia,Asia,Middle East,26245000,0.77,1,18.50%,0.503,0.999,90.22,3,0.010878,"11,902","23,648","2,258",178,81,85,NA,NA,420,178,81,"7,113,255","26,604","5,505,782","3,030,215","68,409","6,841","463,333","4,376",1,9,"6,794","23,780","14,287","44,237","1,213","5,071",65,550,NA,NA,"4,251,980","13,511,939","75,230","232,286","3,302,633","10,626,080","1,146,864","9,392,127","1,436,041","267,853"
121,SGP,Singapore,Asia,Asia 1,4839000,0.866,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
122,LKA,Sri Lanka,Asia,Asia 4,20411000,0.691,1,49.30%,0.203,0.996,1224.8,35,0.169987,"50,701","249,094","9,598","2,167",994,"1,033",NA,NA,4422,2167,994,"7,082,508","705,074","6,730,499","5,276,345","1,308,464","1,770","3,714","13,824",8,58,"14,243","60,003","75,885","260,186","2,691","13,147",500,"3,662",NA,NA,"2,116,410","7,440,176","365,454","1,237,695","2,023,785","7,118,030","1,217,739","9,051,780","1,129","23,851"
